"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","url","categoryName"
"Hazel Court","4.3","437","1 Hazel Ct","York",,"GB","https://www.york.gov.uk/info/20091/household_waste/613/hazel_court_household_waste_recycling_centre_hwrc","+44 1904 551550","Recycling center",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hazel%20Court&query_place_id=ChIJX5M4P7cxeUgRrynQxhly9uE","Recycling center"
"Rainbow Restoration - York & Yorkshire Coast","5","9","Unit 8, London Ebor Business Park, Millfield Ln","York",,"GB","https://york.rainbow-int.co.uk/","+44 1904 607777","Water damage restoration service","Asbestos testing service","Blast cleaning service","Building restoration service","Carpet cleaning service","Fire damage restoration service","Graffiti removal service","Plumber","Pressure washing service",,,"https://www.google.com/maps/search/?api=1&query=Rainbow%20Restoration%20-%20York%20%26%20Yorkshire%20Coast&query_place_id=ChIJtbRBh2wveUgR-i9bIZRvQM8","Water damage restoration service"
"GNR Geoff Neal (Roofing) Ltd","4.7","60","Sutton Rd","York",,"GB","http://www.nealroofing.com/","+44 1904 763894","Roofing contractor","Bricklayer","Building consultant","Building restoration service","Contractor","Heritage preservation","Joiner","Metal fabricator","Sheet metal contractor","Waterproofing service",,"https://www.google.com/maps/search/?api=1&query=GNR%20Geoff%20Neal%20(Roofing)%20Ltd&query_place_id=ChIJ67CgN6wzeUgRDth4zSdy2Us","Roofing contractor"
"BusinessWaste.co.uk","4.6","207","Artemis House, Eboracum Wy, Heworth Grn","York",,"GB","https://www.businesswaste.co.uk/","+44 800 211 8390","Waste management service","Garbage collection service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BusinessWaste.co.uk&query_place_id=ChIJ99H3cOL6e0gRJfvBc--5bGY","Waste management service"
"Eurosafe UK/Tersus Consultancy","5","5","Eurosafe House","York",,"GB","http://www.eurosafeuk.co.uk/","+44 1904 691515","Consultant",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Eurosafe%20UK%2FTersus%20Consultancy&query_place_id=ChIJ7-Q5U_cxeUgRS85OnX3noOw","Consultant"
"Quirk Asbestos Survey York Ltd","5","2","33 A1036","York",,"GB","http://asbestosremovalyork.com/","+44 1904 935523","Asbestos testing service","Environmental consultant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Quirk%20Asbestos%20Survey%20York%20Ltd&query_place_id=ChIJtScMtRXMd0gRVbhYs6172xc","Asbestos testing service"
"Asbestos Management Consultancy Ltd","5","3","The Airfield, 1st Floor Daffodil House","York",,"GB","https://www.amc-asbestos.co.uk/","+44 1759 307412","Asbestos testing service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Asbestos%20Management%20Consultancy%20Ltd&query_place_id=ChIJOe69-aHXeEgRuq9MB3m9WAY","Asbestos testing service"
"Future Select Limited","4.5","4","Omega 3, Monks Cross Dr","York",,"GB","http://www.future-select.co.uk/","+44 1904 766611","Recruiter",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Future%20Select%20Limited&query_place_id=ChIJGRkg0PkxeUgRqw4mOYWqsLk","Recruiter"
"Green Asbestos Removal York Ltd","4","4","16 The Tannery, Lawrence St","York",,"GB","http://asbestosremovalyork.co.uk/","+44 1904 935303","Demolition contractor","Asbestos testing service","Environmental consultant","Surveyor",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Green%20Asbestos%20Removal%20York%20Ltd&query_place_id=ChIJPxDUB0mYcEgRxixnyzGMJQ4","Demolition contractor"
"fire alarm york",,,"11 Peter Ln","York",,"GB","http://www.firealarmyork.co.uk/","+44 1904 234111","Fire alarm supplier","Design","Property management company","Security service","Security system supplier",,,,,,,"https://www.google.com/maps/search/?api=1&query=fire%20alarm%20york&query_place_id=ChIJnWKlxagxeUgRVtN8L0dUe4A","Fire alarm supplier"
"WPS Fire and Security Ltd","4","12","York Eco Business Centre","York",,"GB","http://www.wpsfireandsecurity.co.uk/","+44 1904 936000","Fire alarm supplier","Security system installation service","Security system supplier",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=WPS%20Fire%20and%20Security%20Ltd&query_place_id=ChIJa8_auCwxeUgRKpKGImuhReM","Fire alarm supplier"
"Minster Alarms Ltd","4.8","33","Suncliffe House, 157 New Ln","York",,"GB","http://www.minsteralarms.co.uk/","+44 1904 466400","Security system supplier","Burglar alarm store","Fire alarm supplier","Fire protection system supplier","Safety equipment supplier","Security system installation service",,,,,,"https://www.google.com/maps/search/?api=1&query=Minster%20Alarms%20Ltd&query_place_id=ChIJOWNIZvQxeUgR2G7p6hmhaDQ","Security system supplier"
"Ultra Fire & Security Ltd","5","4","159 Westfield Pl","York",,"GB","https://ultra-security.co.uk/","+44 1904 314400","Security system supplier","Lighting store","Medical supply store",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ultra%20Fire%20%26%20Security%20Ltd&query_place_id=ChIJDZIYkbCk824Rt6t4UneCqfs","Security system supplier"
"ADVANCE FIRE SERVICES","3.8","10","21-23 Lawrence St","York",,"GB","http://www.advancefireyork.co.uk/","+44 1904 634036","Fire alarm supplier","Burglar alarm store","Fire protection consultant","Fire protection equipment supplier","Fire protection service","Fire protection system supplier","Safety equipment supplier","Security system installation service","Security system supplier","Sign shop",,"https://www.google.com/maps/search/?api=1&query=ADVANCE%20FIRE%20SERVICES&query_place_id=ChIJ17544rMxeUgRoaVtrSBCzMo","Fire alarm supplier"
