companyName,uk_trademark_registered
Hazel Court,No
Rainbow Restoration - York & Yorkshire Coast,No
GNR Geoff Neal (Roofing) Ltd,No
BusinessWaste.co.uk,No
Eurosafe UK/Tersus Consultancy,No
Quirk Asbestos Survey York Ltd,No
Asbestos Management Consultancy Ltd,No
Future Select Limited,No
Green Asbestos Removal York Ltd,No
fire alarm york,No
WPS Fire and Security Ltd,No
Minster Alarms Ltd,No
Ultra Fire & Security Ltd,No
ADVANCE FIRE SERVICES,No
NORTHPOINT FIRE & SECURITY,No
Vesta Fire Protection,No
Coventfire,No
Selby Bolt & Nut Ltd York,No
Yorkstore Ltd,No
CYC Hazel Court,No
Bootham Removals & Storage Ltd,No
A. Rhodes Haulage Limited,No
Simon Morris Removals & Storage Ltd,No
A1 Plant & Haulage York,No
Lightning Logistics International LTD,No
Machines Automation Robotic Systems Ltd.,No
Willsden Steel Ltd,No
Technical Arc,No
Yorkshire Paper Hygiene Services,No
First Fix Industrial Supplies,No
Houghtons of York,No
York Warehouse & Distribution,No
Catering Appliances UK,No
TASC2 The Asbestos Solutions Company,No
Lowton Engineering Ltd,No
York Bathrooms ltd,No
HotelWare Supplies,No
Technical Services & Supplies,No
Fdcheck.ltd,No
Brecks Engineering Ltd,No
Cooltec Services (York) Ltd,No
John Wright Electrical & Mechanical Services Ltd,No
Fridgetec,No
Miller Food Service,No
RDD+ Ltd,No
DGP Intelsius Ltd,No
Transplant Haulage York,No
AB Electrical Wholesalers Ltd,No
Garage Mechanic York - Dunnington Motor Care Ltd,No
Don Barker Ltd,No
Acaster Forge Limited,No
"Andrew Brind Ltd, Gates and railings York",No
Flatford Ltd,No
Minster Engineering Co Ltd,No
KH Storage,No
"G.W Smith Fabrications, metal fabrications york",No
Air Supply Ltd,No
"Yorkshire Gates, Railings & Stainless Steel",No
Blacker Steel Fabrications Ltd,No
YCE Catering Equipment Ltd,No
Yorlab,No
Tayrol Ltd,No
J S & D Ray,No
Chemicals Direct,No
Tiffin Bakes Cake Shed,No
D4 Transport,No
Oxford Welders,No
York Survey Supply Centre,No
SDB Sheet Metal Enginers,No
Lowther aluminium systems,No
Cockerill Ltd,No
Eborcraft,No
Abelo Beekeeping Supplies,No
LEW Electrical Distributors York,No
York Box Ltd,No
Evans Halshaw Vauxhall York,No
Wilson Bio-Chemical Limited,No
Booker York,No
Hallfield Road Motors,No
VAN HUT LTD,No
York Ironworks,No
Alderson Motors LTD,No
York Powder Coating,No
SG Petch York,No
AgriFood X Limited,No
Trade Centre York,No
Prestige Car Supermarket,No
Bickerton Car Sales,No
ST-RS Automotive Ltd,No
Yortracked - Mobile auto-electric services,No
Stoneacre York,No
Motoplex Ltd,No
Cash4Cars York,No
Copycars,No
Cosmetics Cluster UK,No
YESSS Electrical York,No
21 Degrees York | Formerly Green Building Renewables,No
Station Garage Haxby,No
Yorvik Cars Ltd,No
Vertu Motors Accident Repair Centre York,No
Ceejay UK LTD,No
Design and Print Solutions,No
Club Class Cars York,No
Monks Cross Used Cars,No
Nu York Printing,No
York Digital Image,No
York Print Company | Print & Signage,No
Jetscreen York Ltd,No
Priory Garage Ltd.,No
Press Green,No
Fulprint,No
YORK MEDIA LIMITED,No
Dunnington & Grimston Sports Club,No
Inc Dot Design & Print,No
Walstead York,No
York Auto Bodyshop,No
Process Print,No
Alton Cars Ltd,No
JCT600 Accident Repair Centre York,No
York MOT Centre,No
York mot services,No
North East Truck & Van York,No
All Design & Print Ltd,No
AutoRefinishers - Eurorepar Car Service,No
The MOT Man York,No
Focus 4 Print,No
Dyrdals Garage,No
Poppleton MOT Centre,No
Print Love Ltd,No
Mail Boxes Etc. York,No
Quacks Printers,No
The Garage Tyre & Autocare,No
Huntington Service Station,No
Rydal Garage York Ltd,No
KLS at Bryn's Garage,No
Motus Commercials York - DAF,No
A64 Van Sales,No
Stoneacre York Ford Transit Centre,No
Spectrum Signs,No
Paul Rhodes Commercials York LTD,No
Max Car Care Valeting & Detailing,No
Ings View Service Station,No
Spectrum Auto Services,No
Moorcroft Service Station,No
Camerons Gt Auto Ltd,No
Signs Express York,No
York Mansion House,No
Club Class Entertainment,No
HiQ Tyres & Autocare York,No
Birch Park Vehicle Test Centre,No
P and P Van Sales,No
Hotel Indigo York by IHG,No
York St John University Events,No
Merchant Adventurers' Hall,No
St Saviourgate Venues,No
Hotel Clementine,No
The Churchill Hotel,No
Judges Court,No
The Victoria,No
The Judge's Lodging,No
The Falcon Boutique Inn on Micklegate,No
Guy Fawkes Inn,No
JGV Customs Ltd,No
York Rose B & B,No
Deighton Lodge,No
York Venues: The Hospitium,No
Villa Farm York,No
The MOT Shop,No
York FootGolf,No
The Crescent Community Venue,No
York Golf Range,No
Forest of Galtres Golf Club,No
Stockton on the Forest Village Hall,No
Grays Court Hotel and The Bow Room Restaurant,No
Forest Park Golf Club,No
Fulford Golf Club,No
No. 1 York by GuestHouse,No
Heworth Golf Club,No
York Clarence & Institute Ltd,No
Bedern Hall,No
The Fat Badger York,No
The Masons Arms,No
Hotel du Vin York,No
York Sport Village,No
Pike Hills Golf,No
Bishopthorpe Sports & Social Club,No
St Lawrence Working Men's Club & Institute Ltd,No
Middlethorpe Hall and Spa,No
Tang Hall Working Mens Club & Institute Ltd,No
American Golf - York,No
York Sports Club,No
Thompsons Roofing,No
David Lloyd York,No
ADVANCED ROOFING CONTRACTORS LTD,No
York Hub,No
Swallow Hall,No
York Sport Centre,No
My York Roofer,No
York Golf Club,No
Moore Commercial Services,No
